,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
93,2024-05-24,188.33852401914112,156.49359998242875,211.68343998815135,188.33852401914112,188.33852401914112,-4.7012569930246295,-4.7012569930246295,-4.7012569930246295,-4.7012569930246295,-4.7012569930246295,-4.7012569930246295,0.0,0.0,0.0,183.6372670261165
94,2024-05-28,190.142264877995,160.133212887533,214.43716181955986,190.142264877995,190.142264877995,-3.4301503464563465,-3.4301503464563465,-3.4301503464563465,-3.4301503464563465,-3.4301503464563465,-3.4301503464563465,0.0,0.0,0.0,186.71211453153865
95,2024-05-29,190.59320009270849,159.30326367193544,212.27327329951513,190.59320009270849,190.59320009270849,-4.496480751886157,-4.496480751886157,-4.496480751886157,-4.496480751886157,-4.496480751886157,-4.496480751886157,0.0,0.0,0.0,186.09671934082232
96,2024-05-30,191.04413530742195,158.00938896583713,215.4576011793837,191.04413530742195,191.04413530742195,-4.541889295793625,-4.541889295793625,-4.541889295793625,-4.541889295793625,-4.541889295793625,-4.541889295793625,0.0,0.0,0.0,186.50224601162833
97,2024-05-31,191.49507238250663,159.4971084909715,212.1769334344815,191.49507238250663,191.49507238250663,-4.701256993025027,-4.701256993025027,-4.701256993025027,-4.701256993025027,-4.701256993025027,-4.701256993025027,0.0,0.0,0.0,186.7938153894816
98,2024-06-03,192.84788360776068,160.15272482956536,216.56591112774433,192.84788360776068,192.84788360776068,-3.514233506835852,-3.514233506835852,-3.514233506835852,-3.514233506835852,-3.514233506835852,-3.514233506835852,0.0,0.0,0.0,189.3336501009248
99,2024-06-04,193.2988206828454,161.93817859855966,220.8926112909307,193.2988206828454,193.2988206828454,-3.430150346445127,-3.430150346445127,-3.430150346445127,-3.430150346445127,-3.430150346445127,-3.430150346445127,0.0,0.0,0.0,189.86867033640027
100,2024-06-05,193.74975775793004,162.76683986411942,216.64937182379353,193.74975775793004,193.74975775793004,-4.4964807518878915,-4.4964807518878915,-4.4964807518878915,-4.4964807518878915,-4.4964807518878915,-4.4964807518878915,0.0,0.0,0.0,189.25327700604214
101,2024-06-06,194.20069483301472,160.59676667388885,215.7588522197719,194.20069483301472,194.20069483301472,-4.541889295797661,-4.541889295797661,-4.541889295797661,-4.541889295797661,-4.541889295797661,-4.541889295797661,0.0,0.0,0.0,189.65880553721706
102,2024-06-07,194.6516319080994,161.67218925430222,216.95041051691828,194.6516319080994,194.6516319080994,-4.701256993058576,-4.701256993058576,-4.701256993058576,-4.701256993058576,-4.701256993058576,-4.701256993058576,0.0,0.0,0.0,189.95037491504084
103,2024-06-10,196.00444313335348,165.21796837151808,220.8690819069493,196.00444313335348,196.00444313335348,-3.514233506846022,-3.514233506846022,-3.514233506846022,-3.514233506846022,-3.514233506846022,-3.514233506846022,0.0,0.0,0.0,192.49020962650746
104,2024-06-11,196.45538023072862,165.61206396751254,220.02088236660222,196.45538023072862,196.45538023072862,-3.4301503464482757,-3.4301503464482757,-3.4301503464482757,-3.4301503464482757,-3.4301503464482757,-3.4301503464482757,0.0,0.0,0.0,193.02522988428035
105,2024-06-12,196.9063173281038,166.18294409975414,219.28967777559174,196.9063173281038,196.9063173281038,-4.496480751885411,-4.496480751885411,-4.496480751885411,-4.496480751885411,-4.496480751885411,-4.496480751885411,0.0,0.0,0.0,192.4098365762184
106,2024-06-13,197.35725442547894,166.05483451532808,219.82832710695936,197.35725442547894,197.35725442547894,-4.541889295801699,-4.541889295801699,-4.541889295801699,-4.541889295801699,-4.541889295801699,-4.541889295801699,0.0,0.0,0.0,192.81536512967725
107,2024-06-14,197.80819152285412,165.3214170177244,219.25810331057033,197.80819152285412,197.80819152285412,-4.7012569930589745,-4.7012569930589745,-4.7012569930589745,-4.7012569930589745,-4.7012569930589745,-4.7012569930589745,0.0,0.0,0.0,193.10693452979515
108,2024-06-17,199.16100281497958,168.56911728238808,223.7965149079138,199.16100281497958,199.16100281497958,-3.5142335068561925,-3.5142335068561925,-3.5142335068561925,-3.5142335068561925,-3.5142335068561925,-3.5142335068561925,0.0,0.0,0.0,195.6467693081234
